name,type,customer_id,address,phone,latitude,longitude
Gömrük Hospitalının Apteki,PHARMACY,49861,"Azərbaycan Respublikası, Bakı, Yasamal r-nu, Kazım Kazımzadə küç.118, AZ1000",994 55 455 69 51,40.3783417,49.8157959
AzəriMed-Kanon Oskar,PHARMACY,51268,"Azərbaycan Respublikası, Bakı, Binəqədi r-nu, Mir Cəlal küç.72, AZ1000",994 55 455 85 74,40.4209595889113,49.8148467690126
AzəriMed-Kanon Səma,PHARMACY,51269,"Azərbaycan Respublikası, Bakı, Binəqədi r-nu, Şövkət Məmmədova küç.32, AZ1000",994 55 455 85 46,40.421414519883,49.8463232690126
AzəriMed-Kanon Viktoriya,PHARMACY,51271,"Azərbaycan Respublikası, Bakı, Nərimanov r-nu, Təbriz küç.17, AZ1000",994 55 455 85 64,40.3879579733829,49.8522513690373
AzəriMed-Zəfəran 5 saylı xəstəxana,PHARMACY,51272,"Azərbaycan Respublikası, Bakı, Nərimanov r-nu, Fətəli Xan Xoyski küç.130, AZ1000",994 55 455 88 02,40.4030551451771,49.8625555555188
AzəriMed-Kanon Semaşko,PHARMACY,51273,"Azərbaycan Respublikası, Bakı, Nəsimi r-nu, Mirəsədulla Mirqasımov küç.2, AZ1000",994 55 455 85 39,40.3941096157195,49.8349245843803
AzəriMed-Kanon Vitamin,PHARMACY,51274,"Azərbaycan Respublikası, Bakı, Nəsimi r-nu, Hüseynbala Əliyev küç.4, AZ1000",994 55 455 87 85,40.4109252996611,49.8172773248597
AzəriMed-Kanon Ferromed,PHARMACY,51277,"Azərbaycan Respublikası, Bakı, Nizami r-nu, Qara Qarayev pr,26, AZ1000",994 55 455 85 97,40.4176338353684,49.9319567536956
AzəriMed-Kanon Favorit,PHARMACY,51278,"Azərbaycan Respublikası, Bakı, Sabunçu r-nu, Bakıxanov qəs.,Sülh küç.1D, AZ1000",994 55 455 85 72,40.4178923603822,49.9604119978482
AzəriMed-Kanon Naturalist,PHARMACY,51279,"Azərbaycan Respublikası, Bakı, Səbail r-nu, Əhməd Cavad küç.22, AZ1000",994 55 455 85 37,40.36987942793,49.8344882536942
AzəriMed-Zəfəran XMSK,PHARMACY,51280,"Azərbaycan Respublikası, Bakı, Səbail r-nu, Badamdar şossesi 31, AZ1000",994 55 455 81 63,40.3529930114746,49.8091201782226
AzəriMed-Zəfəran Neftçilər,PHARMACY,51281,"Azərbaycan Respublikası, Bakı, Xətai r-nu, M.Mehdizadə və Y.Səfərov küç. kəsişməsi, AZ1000",994 55 455 88 01,40.3805190238593,49.8638801693156
AzəriMed-Kanon Okean,PHARMACY,51283,"Azərbaycan Respublikası, Bakı, Yasamal r-nu, Bəsti Bağırova küç.14, AZ1000",994 55 455 85 73,40.3842489814834,49.8251969843799
AzəriMed-Kanon Lutemax,PHARMACY,51284,"Azərbaycan Respublikası, Bakı, Yasamal r-nu, Abbas Mirzə Şərifzadə küç.314, AZ1000",994 55 455 85 38,40.3822000215592,49.8044049690373
"AzəriMed-Zəfəran ""20 Yanvar""",PHARMACY,51285,"Azərbaycan Respublikası, Bakı, Yasamal r-nu, Müzəffər Həsənov küç.1, AZ1000",994 55 455 69 51,40.4042120281025,49.8063161690379
AzəriMed-Kanon Balzam,PHARMACY,51286,"Azərbaycan Respublikası, Xırdalan şəhəri, M.Ə.Rəsulzadə küç.1",994 55 455 81 26,40.4535065301217,49.7504811402038
AzəriMed-Zəfəran Mərdəkan,PHARMACY,51287,"Azərbaycan Respublikası, Bakı, Xəzər r-nu, Mərdəkan qəs., AZ1000",994 55 455 90 78,40.4871118763139,50.1648227825334
AzəriMed-Zəfəran Primorsk,PHARMACY,51288,"Azərbaycan Respublikası, Bakı, Qaradağ r-nu, Sahil qəs.,Məhərrəm Seyidov küç., AZ1000",994 55 455 90 93,40.2298231466725,49.5818103978683
AzəriMed-Zəfəran Lökbatan,PHARMACY,51289,"Azərbaycan Respublikası, Bakı, Qaradağ r-nu, Lökbatan qəs.,28 May küç., AZ1000",994 55 455 89 10,40.3219896279471,49.7330250113384
AzəriMed-Zəfəran Sumqayıt,PHARMACY,51291,"Azərbaycan Respublikası, Sumqayıt, Heydər Əliyev pr.,məhəllə 40, AZ5000",994 55 455 89 00,40.5839798482589,49.6731244248649
AzəriMed-Zəfəran Bərdə,PHARMACY,51292,"Azərbaycan Respublikası, Bərdə, Üzeyir Hacıbəyov küç.3, AZ0900",994 55 455 87 99,40.3728159882696,47.1260759825045
AzəriMed-Zəfəran Mingəçevir,PHARMACY,51295,"Azərbaycan Respublikası, Mingəçevir, Heydər Əliyev pr., AZ4500",994 55 455 58 12,40.7647467362729,47.0620098248454
