name,type,address,phone,latitude,longitude
32 BEAUTY - Billur Dent,CLINIC,"Nərimanov ray., Teymur Əliyev küç 63",,40.40694205623578,49.84237207552715
32 Gözəl,CLINIC,"Gəncə şəh., Atatürk pr. 254\42",,40.670973377298054,46.35492288646706
32 Gözəl MMC,CLINIC,"Yasamal ray., Azərbaycan pr.12",0125967313,40.37159265838603,49.83115727552542
36.6 Med Klinikası,CLINIC,"Gəncə şəh., Kəpəz ray., Atatürk prospekti 120 B",0515926366,40.69299033877994,46.35759627554185
AQS Dental,CLINIC,"Sumqayıt şəh.,13-cü mikr-n, Babək pr. 241, AZ 5001",0552042598,40.56724404646558,49.692663875535416
ARS Reabilitasiya Mərkəzi MMC,CLINIC,"Nərimanov ray., H. Əliyev 889-cu məhəllə, ev 82",0124801788,40.40856275613713,49.857124875527354
Atlas Medical Center,CLINIC,"Xətai ray., Xətai prospekti 15",0124969606,40.387402457424464,49.853899375526275
Avita,CLINIC,"Bakı şəh.,Binə qəs.,Əli İsazadə küç. 139",0702022702,40.413127359479574,49.890014936094346
Avrasiya Hospital,CLINIC,Nəsimi ray. Ak. Həsən Əliyev küç. 15,0559790101,40.41120039878135,49.8116767904934
Aysmed Klinikası,CLINIC,"Xətai ray., M. Hadi küç.,2",0552524047,40.39438875699956,49.95057117552664
Azərbaycan Tibb Universitetinin Tədris Cərrahiyyə Klinikası,CLINIC,"Mirqasımov küç., 1004-cü məhəllə",,40.3921817479922,49.83177782369605
Azərbaycan Tibb Universitetinin Tədris Stomatoloji Klinikası,CLINIC,"Bakı şəhəri, Nəsimi rayonu, S.Vurğun küçəsi,175",,40.39923220670496,49.82930642552687
Azərbaycan Tibb Universitetinin Tədris Terapevtik Klinikası,CLINIC,"Nəsimi ray.,Mərdanov qardaşları küç.1001",(+99412) 597 44 90,40.396690906859455,49.82916347552663
Badam Klinikası,CLINIC,"Səbail r-nu, A.Abbaszadə küç., 13A",*6699,40.35248585954776,49.81076947552447
BatıGöz Azərbaycan,CLINIC,"Nəsimi ray., Vaqif pr.,9A",0513104033,40.392580557109646,49.84050837552639
Biosis Tibb Mərkəzi,CLINIC,"Bakı şəh., Yasamal ray., M.Naxçıvani, ev 9",,40.38334035767169,49.822651675525925
