name,type,address,phone,latitude,longitude,city,region_category,source
Aran 690 Biləsuvar,PHARMACY,"Biləsuvar şəh., H.Əliyev pr., 40E",+994252950297,39.45453009,48.54693637,Biləsuvar,Region,Pasha Insurance
Buta Əhmədli 62,PHARMACY,"Bakı şəh., Xətai ray., Nəsrəddin Tusi küç., 29",+994552057791,40.36712662,49.96228241,Bakı,Bakı,Pasha Insurance
Nəsir 500 Aptek,PHARMACY,"Bakı şəh., Nərimanov ray., A.Məmmədov küç., 30",+994554558143,40.39410832,49.88123968,Bakı,Bakı,Pasha Insurance
Oskar,PHARMACY,"Bakı şəh., Binaqədi ray., Mir Cəlal küç., 72",+994554558574,40.42100284,49.81487989,Bakı,Bakı,Pasha Insurance
Dokta 1085 Xaçmaz,PHARMACY,"Xaçmaz şəh., N.Nərimanov küç.",+994557271570,41.46183316,48.79955428,Bakı,Bakı,Pasha Insurance
Aloe Bravo Yeni Günəşli,PHARMACY,"Bakı şəh., Suraxanı ray., Yeni Günəşli qəs, İlqar Musayev küç.",+994552043366,40.3870383,49.97542582,Bakı,Bakı,Pasha Insurance
Dokta 1029 Lənkəran,PHARMACY,"Lənkəran şəh., Nizami küç., 87",+994506272423,38.75874391,48.8377192,Bakı,Bakı,Pasha Insurance
Kanon AS Gəncə,PHARMACY,"Gəncə şəh., 4-cü mkr, M.Xələfov küç., 18 A",+994554559068,40.69642667,46.38263353,Gəncə,Region,Pasha Insurance
Dokta 301 OKİ Qusar,PHARMACY,"Qusarı şəh., F.Musayev küç., 27",+994507239802,41.42579152,48.43100386,Qusar,Region,Pasha Insurance
Buta FHN,PHARMACY,"Bakı şəh., Binəqədi ray., 9-cu mkr, A.Məmmədov küç., 34",+994552136766,40.420311,49.808555,Bakı,Bakı,Pasha Insurance
Aloe Bravo Sumqayıt,PHARMACY,"Sumqayıt şəh., Ü.Hacıbəyov küç., 2",+994992044405,40.57360597,49.69117393,Sumqayıt,Region,Pasha Insurance
Aloe Bravo Oazis,PHARMACY,"Bakı şəh., Binəqədi ray., Ş.Məmmədova küç., ev 2",+994552043388,40.41971509,49.84704915,Bakı,Bakı,Pasha Insurance
Zeytun metro Elmlər Akademiyası,PHARMACY,"Bakı şəh., Yasamal ray., H.Cavid pr. (metronun içi- Elmlər Akamediyası tərəfindən əsas girişi)",+994502731191,40.375185,49.815446,Bakı,Bakı,Pasha Insurance
Ferromed,PHARMACY,"Bakı şəh., Nizami ray., Q.Qarayev pros., ev 26",+994554558597,40.41764896,49.9320668,Bakı,Bakı,Pasha Insurance
NAR,PHARMACY,"Bakı şəh., Nərimanov ray., A.Nemətulla küç., 63",+994554555832,40.40766434,49.86792345,Bakı,Bakı,Pasha Insurance
Kanon Masallı 1,PHARMACY,"Masallı şəh., 20 Yanvar küç.",+994212555505,38.75478726,48.85219478,Masallı,Region,Pasha Insurance
Buta 20-ci sahə,PHARMACY,"Bakı şəh., Səbail ray., Salyan dön., 2a",+994552058100,40.33000078,49.8192056,Bakı,Bakı,Pasha Insurance
İmmuno 740 İmişli,PHARMACY,"İmişli şəh., H.Əliyev pr., 164 A",+994554559057,39.86988,48.060489,İmişli,Region,Pasha Insurance
Kanon Stimol Sumqayıt,PHARMACY,"Sumqayıt şəh., 2-ci  mkr, Sülh küç.",+994554558563,40.58688929,49.67082161,Sumqayıt,Region,Pasha Insurance
Zeytun metro Koroğlu,PHARMACY,"Bakı şəh., Nizami ray., H.Əliyev pr.",+994512501929,40.42095829,49.9183988,Bakı,Bakı,Pasha Insurance
Aloe Lermontov,PHARMACY,"Bakı şəh., Səbail ray., Lermontov küç., 121",+994992044408,40.36616964,49.8302428,Bakı,Bakı,Pasha Insurance
Buta 273 Xalqalar Dostluğu,PHARMACY,"Bakı şəh., Nizami ray., Q.Qarayev pr., 119",+994554678713,40.39756401,49.95300071,Bakı,Bakı,Pasha Insurance
Aloe Ağa Nemətulla,PHARMACY,"Nərimanov ray., Aga Neymətulla küç., ev 50 (Nəriman Nərimanov metrosunun yaxınlığı)",+994555153558,40.40373884,49.87158988,Bakı,Bakı,Pasha Insurance
Aloe Bravo Bakıxanov,PHARMACY,"Bakı şəh., Sabunçu ray., R.Qəmbərov küç., məh. 2566",+994552043355,40.41243111,49.95523007,Bakı,Bakı,Pasha Insurance
Dokta 639 Şamaxı,PHARMACY,"Şamaxı şəh., N.Nərimanov küç., 68",+994554050166,40.63970044,48.63895413,Bakı,Bakı,Pasha Insurance
Kanon Xəmsə Mingəçevir,PHARMACY,"Mingəçevir şəh., H.Əliyev pr., 51Q",+994554558547,40.76811785,47.05611909,Mingəçevir,Region,Pasha Insurance
Dokta 540 Zaqatala,PHARMACY,"Zaqatala şəh., Vidadi küç., 15",+994552261495,41.63318308,46.64317001,Zaqatala,Region,Pasha Insurance
Aloe Araz Xalqlar,PHARMACY,"Bakı şəh., Nizami ray., B.Nuriyev küç., 32",+994992044403,40.40113233,49.95633588,Bakı,Bakı,Pasha Insurance
SUNTERRA,PHARMACY,"Bakı şəh., Xətai ray., Sarayevo küç., ev 18",+994554558717,40.38628416,49.9588971,Bakı,Bakı,Pasha Insurance
Medical City,PHARMACY,"Bakı şəh., Nəsimi ray., Füzuli küç.,49",+994705942505,40.3772141,49.8367291,Bakı,Bakı,Pasha Insurance
Vita Sabunçu 14,PHARMACY,"Bakı şəh., Sabunçu ray., Ə.Məmədəliyev küç. 7",+994552247997,40.44485192,49.94401368,Bakı,Bakı,Pasha Insurance
Zeytun metro Gənclik 1,PHARMACY,"Bakı şəh., Nərimanov ray., F.X. Xoyski pr. (metronun içi- Gənclik-mall çıxışı)",+994502731195,40.400853,49.85253,Bakı,Bakı,Pasha Insurance
Aloe Bakıxanov,PHARMACY,"Bakı şəh., Bakıxanov qəs., M.Fətəliyev küç., 35",+994992044407,40.41251016,49.95616337,Bakı,Bakı,Pasha Insurance
Kanon Mərkəz Gəncə,PHARMACY,"Gəncə şəh., Ə.Məmmədov küç., 47",+994554558104,40.66606615,46.35292341,Gəncə,Region,Pasha Insurance
Vita Pirşagı 104,PHARMACY,"Sabunçu ray., Pirşagı qəs., Əjdər Məlikov 34 (Anar marketlə üzbəüz Məscidin yanında)",+994125515419,40.55770766,49.88807668,Bakı,Bakı,Pasha Insurance
