name,type,city_id,city,address,phone,single_phone,whatsapp,working_hours,latitude,longitude,description
Alazan 5 mərtəbə,PHARMACY,28,Bakı,"Şıxəli Qurbanov, 2/5",+994124977442,+994124977442,,,40.37629472340074,49.83243040238338,
Alazan Aptek-100,PHARMACY,28,Bakı,"Qara Qarayev, 74",+994125204030,+994125204030,,,40.409752,49.943385,
Aloe+,PHARMACY,28,Bakı,28 Mall 15a/4 Azadlıq prospekti Bakı 1010,+994 55 204 33 11,+994552043311,,,40.379192276465304,49.84731813806804,
Aloe+,PHARMACY,28,Bakı,"14 Fətəli Xan Xoyski, Bakı 1110",+ 994 55 204 33 99,+994552043399,,,40.40012723266531,49.85301321080063,
Aloe+,PHARMACY,28,Bakı,Bəhruz Nuriyev küçəsi 32 Bakı 1002,+994 99 204 44 03,+994992044403,,,40.40260683462452,49.95611670559637,
Aloe+,PHARMACY,28,Bakı,"İnşaatçılar m/s, 125a Abbas Mirzə Şərifzadə, Bakı 1138",+994 552044413,+994552044413,,,40.39065516958054,49.8031572896936,
Aloe+,PHARMACY,28,Bakı,İçərişəhər m/s 121 Lermontov küçəsi Bakı 1001,0992044408,0992044408,,,40.36757380347002,49.82981564423064,
Aloe+,PHARMACY,28,Bakı,52 Rəşid Behbudov Küçəsi Bakı 1014,+994 552047766,+994552047766,,,40.37777462459022,49.84535099783002,
Aptek Şirvan Azərimed,PHARMACY,44,Şirvan,Mərkəzi Xəstəxananın qapısının yanı,+994 021 2153468,+9940212153468,,,39.95207147968818,48.936841101123775,
Azərimed Aptek Quba-2,PHARMACY,40,Quba,"Heydər Əliyev pr.,  Avtovağzal ərazisi",+994 0233353589,+9940233353589,,,41.36117045818543,48.51088103029036,
Azərimed Aptek Şəki,PHARMACY,45,Şəki,"M.Rəsulzadə pr., Mərkəzi Xəstəxananın qarşısı",+994 2443956,+9942443956,,,41.19640053816484,47.1763922589906,
BAHAR OPTİK Optic Galery,PHARMACY,28,Bakı,"N.Yusifbəyli küç., 86",+994123100912,+994123100912,,,40.376398069753925,49.834691117538455,
Buta Bayıl,PHARMACY,28,Bakı,Əhəd Yaqubov 6,+994124911155,+994124911155,,,40.33910679000786,49.83511531325078,
Central Clinic,PHARMACY,28,Bakı,"Abşeron ray., Xırdalan şəh., H. Əliyev pr. 30, Khirdalan",+994 507776999,+994507776999,,,40.45302028726425,49.733207551566004,
Dədəmin Aptek,PHARMACY,30,Gəncə,"M.Abbas Abbaszadə küç.,Kukla Tetrın yaxınlığında",+994 552797365,+994552797365,,,40.673493639989594,46.3560809515783,
